user_id_x,order_id,final_discount
1,1187899,15
2,1492625,15
5,2196797,15
7,525192,15
8,880375,15
9,1094988,15
10,1822501,15
13,1827621,15
14,2316178,15
17,2180313,15
18,2461523,15
21,1854765,15
23,3402036,15
24,965160,15
27,2614670,15
29,3110252,15
30,62370,15
34,698604,15
37,1524161,15
38,3173750,15
41,2032076,15
42,2803975,15
43,1864787,20
44,2436259,15
46,1947848,15
47,2906490,15
48,2924697,15
49,519514,15
50,1750084,20
52,1647290,15
53,3088145,15
55,39325,15
56,13318,20
59,1651215,20
62,1019719,20
63,2989905,20
64,2639013,20
65,1072954,15
66,34647,15
67,2757217,15
70,669729,15
71,3038639,15
72,2608424,15
74,482516,15
76,3294399,15
78,1700658,15
79,21708,20
80,2178718,15
81,1734166,15
82,859654,15
83,2424438,15
84,2276967,15
86,613340,20
87,1855447,15
88,3081445,15
89,2222431,15
90,1318796,15
91,637547,20
93,1179185,15
95,1227088,15
96,531345,15
97,3178964,15
99,1289863,20
102,2591641,15
103,926418,15
104,2364180,15
105,2298088,15
106,2549875,20
108,515014,15
109,1997693,15
110,72069,20
111,3105153,20
112,3032922,15
113,1645824,15
114,2759030,15
115,2618023,15
116,878518,15
117,1438423,15
118,1248129,15
119,461193,15
120,961032,15
121,2652217,15
123,1721370,15
124,2733614,15
125,1543042,15
128,1095948,15
130,2437480,20
131,2106151,15
132,2887138,15
135,3001617,15
138,455775,15
139,2233425,15
140,2560500,15
142,2696946,15
143,1993128,15
144,242208,15
145,3395341,15
146,673776,15
147,318441,15
148,3348216,15
150,1575396,15
155,1897207,15
157,3294802,15
160,2133144,15
161,3123006,20
163,2564128,15
164,2608262,15
167,2742787,15
169,767489,15
171,1500681,15
173,2060922,15
174,537105,15
175,1505214,15
176,2433199,15
178,3412247,15
179,1464402,15
183,1007973,15
184,3362166,15
185,2887658,15
187,475324,15
189,2715293,15
191,1308123,15
192,3155162,15
193,1962299,15
195,1458129,15
197,739987,15
198,3048264,15
199,2066158,15
201,2780124,15
203,2897229,15
204,1447810,15
205,2177938,15
206,307237,15
208,1706500,15
209,1826981,15
210,3176785,20
211,2708761,20
212,3084045,15
213,2477435,15
214,3053806,20
215,75622,15
217,1131395,15
218,1841249,15
219,1902701,15
220,1848434,15
222,1789152,15
223,180627,15
224,2041929,15
226,2615515,15
229,568023,15
230,382581,15
231,2499603,15
235,1179928,15
238,1016866,15
239,2941534,15
240,688931,15
242,2193979,15
243,2698993,15
245,2624849,15
249,142062,20
250,524863,15
252,2298194,15
253,2727415,15
255,2008056,15
256,961500,15
258,1056167,15
259,1976038,15
260,3227316,15
261,1162736,15
262,1905437,15
264,2383385,20
267,1665716,15
270,676206,15
271,985905,15
272,2662084,15
273,2014989,20
278,3411419,15
280,3059590,20
282,445784,15
283,145016,15
284,3261724,15
285,78426,20
286,3529,15
288,1184332,15
289,1473392,20
291,1374681,15
293,2692535,20
294,1911431,15
295,405264,15
296,208213,15
298,1979266,15
300,1546561,15
304,540284,15
305,1940141,15
306,1957838,15
309,2600069,15
310,988,15
313,2956359,15
314,877974,15
315,3072356,15
317,1640076,15
319,1054904,15
322,1684761,15
323,3012300,15
324,1215744,15
325,39637,15
326,2560537,15
327,1331374,15
328,3174585,15
329,1606411,15
330,2147369,15
334,1751465,15
337,3077453,15
340,1430705,15
341,281630,15
342,107908,15
343,1841063,15
345,1652713,15
346,980530,15
348,563865,15
349,959285,15
350,1989223,15
351,2898937,15
353,2143540,15
355,3081810,20
357,2376514,20
358,394279,15
359,2908855,15
361,15694,15
363,607923,15
365,2942881,15
370,461187,15
371,174574,15
372,1682739,15
374,1412429,15
375,811612,15
376,960774,15
377,1558843,15
378,2721521,15
379,2294073,15
380,2385890,15
382,14172,15
383,3206948,15
384,2057992,15
385,280751,15
387,1910258,15
390,2294856,15
391,2328904,20
393,36665,15
395,3163411,15
396,445900,15
399,2950974,15
401,2534943,15
402,3014378,15
403,3159731,20
404,592291,20
406,1732187,15
409,1392440,20
411,2050098,15
412,1048290,15
414,1363964,15
416,2070379,20
417,1560176,15
419,1449813,15
421,437145,15
425,1902284,20
426,1643238,15
429,1899614,15
430,2608193,15
431,539212,15
432,488785,15
433,3194530,15
434,484245,15
435,1101383,15
